,Table S9 GO enrichment of cluster 2,,,,,
GO:0043228,non-membrane-bounded organelle,16,2250,2.58E-14,cellular_component,"Organized structure of distinctive morphology and function, not bounded by a lipid bilayer membrane. Includes ribosomes, the cytoskeleton and chromosomes."
GO:0043632,modification-dependent macromolecule catabolic process,6,816,1.44E-06,biological_process,"The chemical reactions and pathways resulting in the breakdown of a macromolecule, initiated by covalent modification of the target molecule."
GO:0048316,seed development,3,399,4.18E-04,biological_process,"The process whose specific outcome is the progression of the seed over time, from its formation to the mature structure. A seed is a propagating organ formed in the sexual reproductive cycle of gymnosperms and angiosperms, consisting of a protective coat enclosing an embryo and food reserves."
GO:0048608,reproductive structure development,5,733,2.73E-05,biological_process,"The reproductive developmental process whose specific outcome is the progression of somatic structures that will be used in the process of creating new individuals from one or more parents, from their formation to the mature structures."
GO:0000775,"chromosome, centromeric region",1,25,7.39E-08,cellular_component,"The region of a chromosome that includes the centromeric DNA and associated proteins. In monocentric chromosomes, this region corresponds to a single area of the chromosome, whereas in holocentric chromosomes, it is evenly distributed along the chromosome."
GO:0051603,proteolysis involved in protein catabolic process,6,904,7.21E-06,biological_process,The hydrolysis of a peptide bond or bonds within a protein as part of the chemical reactions and pathways resulting in the breakdown of a protein by individual cells.
GO:0043232,intracellular non-membrane-bounded organelle,16,2250,2.58E-14,cellular_component,"Organized structure of distinctive morphology and function, not bounded by a lipid bilayer membrane and occurring within the cell. Includes ribosomes, the cytoskeleton and chromosomes."
GO:0001558,regulation of cell growth,2,143,2.03E-05,biological_process,"Any process that modulates the frequency, rate, extent or direction of cell growth."
GO:0002237,response to molecule of bacterial origin,2,160,6.46E-05,biological_process,"Any process that results in a change in state or activity of an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a stimulus by molecules of bacterial origin such as peptides derived from bacterial flagellin."
GO:0005694,chromosome,3,95,5.17E-16,cellular_component,A structure composed of a very long molecule of DNA and associated proteins (e.g. histones) that carries hereditary information.
GO:0005769,early endosome,2,24,3.96E-28,cellular_component,A membrane-bounded organelle that receives incoming material from primary endocytic vesicles that have been generated by clathrin-dependent and clathrin-independent endocytosis; vesicles fuse with the early endosome to deliver cargo for sorting into recycling or degradation pathways.
GO:0005768,endosome,4,387,7.40E-07,cellular_component,A vacuole to which materials ingested by endocytosis are delivered.
GO:0005802,trans-Golgi network,3,298,2.15E-05,cellular_component,"The network of interconnected tubular and cisternal structures located within the Golgi apparatus on the side distal to the endoplasmic reticulum, from which secretory vesicles emerge. The trans-Golgi network is important in the later stages of protein secretion where it is thought to play a key role in the sorting and targeting of secreted proteins to the correct destination."
GO:0031982,vesicle,6,772,5.60E-07,cellular_component,"Any small, fluid-filled, spherical organelle enclosed by membrane."
GO:0031984,organelle subcompartment,4,391,8.69E-07,cellular_component,"A compartment that consists of a lumen and an enclosing membrane, and is part of an organelle."
GO:0097708,intracellular vesicle,6,673,4.26E-08,cellular_component,Any vesicle that is part of the intracellular region.
GO:0031410,cytoplasmic vesicle,6,671,4.02E-08,cellular_component,A vesicle found in the cytoplasm of a cell.
GO:0098687,chromosomal region,1,33,3.11E-06,cellular_component,Any subdivision of a chromosome along its length.
GO:0098791,Golgi apparatus subcompartment,4,379,5.31E-07,cellular_component,"A compartment that consists of a lumen and an enclosing membrane, and is part of the Golgi apparatus."
GO:0042127,regulation of cell population proliferation,1,97,9.25E-03,biological_process,"Any process that modulates the frequency, rate or extent of cell proliferation."
GO:0051128,regulation of cellular component organization,4,417,2.30E-06,biological_process,"Any process that modulates the frequency, rate or extent of a process involved in the formation, arrangement of constituent parts, or disassembly of cell structures, including the plasma membrane and any external encapsulating structures such as the cell wall and cell envelope."
GO:1903426,regulation of reactive oxygen species biosynthetic process,1,18,1.96E-10,biological_process,"Any process that modulates the frequency, rate or extent of reactive oxygen species biosynthetic process."
GO:2000377,regulation of reactive oxygen species metabolic process,1,72,2.07E-03,biological_process,"Any process that modulates the frequency, rate or extent of reactive oxygen species metabolic process."
GO:0048586,"regulation of long-day photoperiodism, flowering",1,33,3.11E-06,biological_process,"Any process that modulates the frequency, rate or extent of long-day photoperiodism, where the response associated with the photoperiodism is flowering. Flowering is defined by the switch from the vegetative to the reproductive phase."
GO:0071470,cellular response to osmotic stress,1,51,2.06E-04,biological_process,"Any process that results in a change in state or activity of a cell (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a stimulus indicating an increase or decrease in the concentration of solutes outside the organism or cell."
GO:0062197,cellular response to chemical stress,1,112,1.68E-02,biological_process,"Any process that results in a change in state or activity of a cell (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a chemical stimulus indicating the organism is under stress."
GO:0071472,cellular response to salt stress,1,38,1.47E-05,biological_process,"Any process that results in a change in state or activity of a cell (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a stimulus indicating an increase or decrease in the concentration of salt (particularly but not exclusively sodium and chloride ions) in the environment."
GO:2000028,"regulation of photoperiodism, flowering",2,103,3.07E-07,biological_process,"Any process that modulates the frequency, rate or extent of photoperiodism, flowering."
GO:0030029,actin filament-based process,1,73,2.24E-03,biological_process,"Any cellular process that depends upon or alters the actin cytoskeleton, that part of the cytoskeleton comprising actin filaments and their associated proteins."
GO:0005885,Arp2/3 protein complex,1,38,1.47E-05,cellular_component,"A stable protein complex that contains two actin-related proteins, Arp2 and Arp3, and five novel proteins (ARPC1-5), and functions in the nucleation of branched actin filaments."
GO:0007010,cytoskeleton organization,2,343,1.36E-02,biological_process,"A process that is carried out at the cellular level which results in the assembly, arrangement of constituent parts, or disassembly of cytoskeletal structures."
GO:0007015,actin filament organization,2,217,8.63E-04,biological_process,"A process that is carried out at the cellular level which results in the assembly, arrangement of constituent parts, or disassembly of cytoskeletal structures comprising actin filaments. Includes processes that control the spatial distribution of actin filaments, such as organizing filaments into meshworks, bundles, or other structures, as by cross-linking."
GO:0009825,multidimensional cell growth,1,40,2.45E-05,biological_process,The process in which a cell irreversibly increases in size in two or three [spatial] dimensions or along two or three axes.
GO:0006996,organelle organization,14,1596,1.99E-16,biological_process,"A process that is carried out at the cellular level which results in the assembly, arrangement of constituent parts, or disassembly of an organelle within a cell. An organelle is an organized structure of distinctive morphology and function. Includes the nucleus, mitochondria, plastids, vacuoles, vesicles, ribosomes and the cytoskeleton. Excludes the plasma membrane."
GO:0010090,trichome morphogenesis,1,42,3.91E-05,biological_process,The process in which the structures of a hair cell (trichome) cell are generated and organized. This process occurs while the initially relatively unspecialized epidermal cell is acquiring the specialized features of a hair cell. An example of this process is found in Arabidopsis thaliana.
GO:0030036,actin cytoskeleton organization,1,26,1.33E-07,biological_process,"A process that is carried out at the cellular level which results in the assembly, arrangement of constituent parts, or disassembly of cytoskeletal structures comprising actin filaments and their associated proteins."
GO:2000241,regulation of reproductive process,4,723,1.16E-03,biological_process,"Any process that modulates the frequency, rate or extent of reproductive process."
GO:0097435,supramolecular fiber organization,2,300,6.80E-03,biological_process,"A process that is carried out at the cellular level which results in the assembly, arrangement of constituent parts, or disassembly of a supramolecular fiber, a polymer consisting of an indefinite number of protein or protein complex subunits that have polymerised to form a fiber-shaped structure."
GO:0005319,lipid transporter activity,2,135,1.07E-05,molecular_function,"Enables the directed movement of lipids into, out of or within a cell, or between cells."
GO:0005548,phospholipid transporter activity,2,23,2.64E-29,molecular_function,"Enables the directed movement of phospholipids into, out of or within a cell, or between cells. Phospholipids are a class of lipids containing phosphoric acid as a mono- or diester."
GO:0008526,phosphatidylinositol transfer activity,1,9,1.58E-19,molecular_function,"Removes phosphatidylinositol from a membrane or a monolayer lipid particle, transports it through the aqueous phase while protected in a hydrophobic pocket, and brings it to an acceptor membrane or lipid particle."
GO:0015748,organophosphate ester transport,1,99,1.01E-02,biological_process,"The directed movement of organophosphate esters into, out of or within a cell, or between cells, by means of some agent such as a transporter or pore. Organophosphate esters are small organic molecules containing phosphate ester bonds."
GO:0120013,lipid transfer activity,1,29,6.17E-07,molecular_function,"Removes a lipid from a membrane or a monolayer lipid particle, transports it through the aqueous phase while protected in a hydrophobic pocket, and brings it to an acceptor membrane or lipid particle. This results in intermembrane transfer of lipids."
GO:0120014,phospholipid transfer activity,1,18,1.96E-10,molecular_function,"Removes a phospholipid from a membrane or a monolayer lipid particle, transports it through the aqueous phase while protected in a hydrophobic pocket, and brings it to an acceptor membrane or lipid particle."
GO:0005543,phospholipid binding,2,239,1.70E-03,molecular_function,"Binding to a phospholipid, a class of lipids containing phosphoric acid as a mono- or diester."
GO:0008289,lipid binding,3,595,7.90E-03,molecular_function,Binding to a lipid.
GO:0015914,phospholipid transport,1,53,2.77E-04,biological_process,"The directed movement of phospholipids into, out of or within a cell, or between cells, by means of some agent such as a transporter or pore. Phospholipids are any lipids containing phosphoric acid as a mono- or diester."
GO:0005085,guanyl-nucleotide exchange factor activity,1,40,2.45E-05,molecular_function,"Stimulates the exchange of GDP to GTP on a signaling GTPase, changing its conformation to its active form. Guanine nucleotide exchange factors (GEFs) act by stimulating the release of guanosine diphosphate (GDP) to allow binding of guanosine triphosphate (GTP), which is more abundant in the cell under normal cellular physiological conditions."
GO:0035091,phosphatidylinositol binding,2,163,7.74E-05,molecular_function,"Binding to an inositol-containing glycerophospholipid, i.e. phosphatidylinositol (PtdIns) and its phosphorylated derivatives."
GO:0051301,cell division,4,371,3.76E-07,biological_process,"The process resulting in division and partitioning of components of a cell to form more cells; may or may not be accompanied by the physical separation of a cell into distinct, individually membrane-bounded daughter cells."
GO:0051641,cellular localization,10,1952,2.37E-06,biological_process,"A cellular localization process whereby a substance or cellular entity, such as a protein complex or organelle, is transported to, and/or maintained in, a specific location within a cell including the localization of substances or cellular entities to the cell membrane."
GO:0070300,phosphatidic acid binding,1,17,5.67E-11,molecular_function,"Binding to phosphatidic acid, any of a class of glycerol phosphate in which both the remaining hydroxyl groups of the glycerol moiety are esterified with fatty acids."
GO:0004386,helicase activity,3,280,1.02E-05,molecular_function,"Catalysis of the reaction: ATP + H2O = ADP + phosphate, to drive the unwinding of a DNA or RNA helix."
GO:0140640,"catalytic activity, acting on a nucleic acid",8,1775,1.37E-04,molecular_function,Catalytic activity that acts to modify a nucleic acid.
GO:0032991,protein-containing complex,17,5496,1.54E-04,cellular_component,"A stable assembly of two or more macromolecules, i.e. proteins, nucleic acids, carbohydrates or lipids, in which at least one component is a protein and the constituent parts function together."
GO:0008186,"ATP-dependent activity, acting on RNA",2,116,1.63E-06,molecular_function,"Catalysis of the reaction: ATP + H2O = ADP + phosphate; this reaction requires the presence of RNA, and it drives another reaction."
GO:0003724,RNA helicase activity,2,116,1.63E-06,molecular_function,"Unwinding of an RNA helix, driven by ATP hydrolysis."
GO:0009892,negative regulation of metabolic process,5,1274,6.66E-03,biological_process,"Any process that stops, prevents, or reduces the frequency, rate or extent of the chemical reactions and pathways within a cell or an organism."
GO:0048827,phyllome development,4,399,1.19E-06,biological_process,"The process whose specific outcome is the progression of a phyllome over time, from its formation to the mature structure. A phyllome is a collective term for all the different types of leaves appearing on plants."
GO:0140098,"catalytic activity, acting on RNA",4,1168,3.12E-02,molecular_function,"Catalytic activity that acts to modify RNA, driven by ATP hydrolysis."
GO:0045010,actin nucleation,1,50,1.76E-04,biological_process,"The initial step in the formation of an actin filament, in which actin monomers combine to form a new filament. Nucleation is slow relative to the subsequent addition of more monomers to extend the filament."
GO:0005622,intracellular anatomical structure,2,136,1.16E-05,cellular_component,A component of a cell contained within (but not including) the plasma membrane. In eukaryotes it includes the nucleus and cytoplasm.
GO:0048523,negative regulation of cellular process,4,824,3.31E-03,biological_process,"Any process that stops, prevents, or reduces the frequency, rate or extent of a cellular process, any of those that are carried out at the cellular level, but are not necessarily restricted to a single cell. For example, cell communication occurs among more than one cell, but occurs at the cellular level."
GO:0016482,cytosolic transport,1,54,3.18E-04,biological_process,The directed movement of substances or organelles within the cytosol.
GO:0051015,actin filament binding,1,145,4.19E-02,molecular_function,"Binding to an actin filament, also known as F-actin, a helical filamentous polymer of globular G-actin subunits."
GO:0005856,cytoskeleton,1,151,4.76E-02,cellular_component,"A cellular structure that forms the internal framework of eukaryotic and prokaryotic cells. The cytoskeleton includes intermediate filaments, microfilaments, microtubules, the microtrabecular lattice, and other structures characterized by a polymeric filamentous nature and long-range order within the cell. The various elements of the cytoskeleton not only serve in the maintenance of cellular shape but also have roles in other cellular functions, including cellular movement, cell division, endocytosis, and movement of organelles."
GO:0009860,pollen tube growth,3,161,1.18E-09,biological_process,Growth of pollen via tip extension of the intine wall.
GO:0051017,actin filament bundle assembly,1,34,4.39E-06,biological_process,The assembly of actin filament bundles; actin filaments are on the same axis but may be oriented with the same or opposite polarities and may be packed with different levels of tightness.
GO:0046907,intracellular transport,6,1327,8.37E-04,biological_process,The directed movement of substances within a cell.
GO:0061572,actin filament bundle organization,1,34,4.39E-06,biological_process,"A process that results in the assembly, arrangement of constituent parts, or disassembly of an actin filament bundle."
GO:0099636,cytoplasmic streaming,1,2,1.95E-82,biological_process,The directed flow of cytosol (the liquid component of the cytoplasm) and the organelles it contains.
GO:0044877,protein-containing complex binding,4,589,1.66E-04,molecular_function,Binding to a macromolecular complex.
GO:0051649,establishment of localization in cell,6,1349,9.88E-04,biological_process,"Any process, occuring in a cell, that localizes a substance or cellular component. This may occur via movement, tethering or selective degradation."
GO:0033036,macromolecule localization,7,1494,2.17E-04,biological_process,"Any process in which a macromolecule is transported to, or maintained in, a specific location."
GO:0045184,establishment of protein localization,4,1087,2.08E-02,biological_process,The directed movement of a protein to a specific location.
GO:0008104,protein localization,7,1337,5.21E-05,biological_process,"Any process in which a protein is transported to, or maintained in, a specific location."
GO:0070727,cellular macromolecule localization,7,1404,9.95E-05,biological_process,"Any process in which a macromolecule is transported to, and/or maintained in, a specific location at the level of a cell. Localization at the cellular level encompasses movement within the cell, from within the cell to the cell surface, or from one location to another at the surface of a cell."
GO:0006606,protein import into nucleus,1,83,4.44E-03,biological_process,The directed movement of a protein from the cytoplasm to the nucleus.
GO:0015031,protein transport,4,1072,1.92E-02,biological_process,"The directed movement of proteins into, out of or within a cell, or between cells, by means of some agent such as a transporter or pore."
GO:0006913,nucleocytoplasmic transport,2,189,2.92E-04,biological_process,The directed movement of molecules between the nucleus and the cytoplasm.
GO:0019899,enzyme binding,2,426,3.60E-02,molecular_function,"Binding to an enzyme, a protein with catalytic activity."
GO:0031267,small GTPase binding,1,31,1.46E-06,molecular_function,Binding to a small monomeric GTPase.
GO:0033365,protein localization to organelle,3,444,1.02E-03,biological_process,"A process in which a protein is transported to, or maintained in, a location within an organelle."
GO:0006886,intracellular protein transport,4,904,6.46E-03,biological_process,"The directed movement of proteins in a cell, including the movement of proteins between specific compartments or structures within a cell, such as organelles of a eukaryotic cell."
GO:0034504,protein localization to nucleus,1,90,6.58E-03,biological_process,A process in which a protein transports or maintains the localization of another protein to the nucleus.
GO:0051020,GTPase binding,1,37,1.11E-05,molecular_function,"Binding to a GTPase, any enzyme that catalyzes the hydrolysis of GTP."
GO:0051169,nuclear transport,2,189,2.92E-04,biological_process,"The directed movement of substances into, out of, or within the nucleus."
GO:0051170,import into nucleus,1,87,5.60E-03,biological_process,The directed movement of substances into the nucleus.
GO:0072594,establishment of protein localization to organelle,2,356,1.63E-02,biological_process,The directed movement of a protein to a specific location on or in an organelle. Encompasses establishment of localization in the membrane or lumen of a membrane-bounded organelle.
GO:0140142,nucleocytoplasmic carrier activity,2,53,2.79E-13,molecular_function,Binding to and carrying a cargo between the nucleus and the cytoplasm by moving along with the cargo. The cargo can be either a RNA or a protein.
GO:0140104,molecular carrier activity,3,115,2.54E-13,molecular_function,Directly binding to a specific ion or molecule and delivering it either to an acceptor molecule or to a specific location.
GO:0016192,vesicle-mediated transport,4,984,1.13E-02,biological_process,"A cellular transport process in which transported substances are moved in membrane-bounded vesicles; transported substances are enclosed in the vesicle lumen or located in the vesicle membrane. The process begins with a step that directs a substance to the forming vesicle, and includes vesicle budding and coating. Vesicles are then targeted to, and fuse with, an acceptor membrane."
GO:0009755,hormone-mediated signaling pathway,4,939,8.36E-03,biological_process,The series of molecular signals mediated by the detection of a hormone.
GO:0016197,endosomal transport,1,111,1.62E-02,biological_process,"The directed movement of substances mediated by an endosome, a membrane-bounded organelle that carries materials enclosed in the lumen or located in the endosomal membrane."
GO:0010648,negative regulation of cell communication,2,134,9.78E-06,biological_process,"Any process that decreases the frequency, rate or extent of cell communication. Cell communication is the process that mediates interactions between a cell and its surroundings. Encompasses interactions such as signaling or attachment between one cell and another cell, between a cell and an extracellular matrix, or between a cell and any other aspect of its environment."
GO:0009787,regulation of abscisic acid-activated signaling pathway,2,143,2.03E-05,biological_process,"Any process that modulates the frequency, rate or extent of abscisic acid (ABA) signaling."
GO:0009788,negative regulation of abscisic acid-activated signaling pathway,1,67,1.36E-03,biological_process,"Any process that stops, prevents, or reduces the frequency, rate or extent of abscisic acid (ABA) signaling."
GO:0023057,negative regulation of signaling,2,134,9.78E-06,biological_process,"Any process that stops, prevents, or reduces the frequency, rate or extent of a signaling process."
GO:0045324,late endosome to vacuole transport,1,50,1.76E-04,biological_process,"The directed movement of substances from late endosomes to the vacuole. In yeast, after transport to the prevacuolar compartment, endocytic content is delivered to the late endosome and on to the vacuole. This pathway is analogous to endosome to lysosome transport."
GO:0032940,secretion by cell,1,116,1.92E-02,biological_process,The controlled release of a substance by a cell.
GO:0046903,secretion,1,135,3.31E-02,biological_process,The controlled release of a substance by a cell or a tissue.
GO:0140352,export from cell,2,237,1.61E-03,biological_process,"The directed movement of some substance from a cell, into the extracellular region. This may occur via transport across the plasma membrane or via exocytosis."
GO:1901419,regulation of response to alcohol,2,143,2.03E-05,biological_process,"Any process that modulates the frequency, rate or extent of response to alcohol."
GO:1901420,negative regulation of response to alcohol,1,67,1.36E-03,biological_process,"Any process that stops, prevents or reduces the frequency, rate or extent of response to alcohol."
GO:1905957,regulation of cellular response to alcohol,2,143,2.03E-05,biological_process,"Any process that modulates the frequency, rate or extent of cellular response to alcohol."
GO:0009968,negative regulation of signal transduction,2,130,6.85E-06,biological_process,"Any process that stops, prevents, or reduces the frequency, rate or extent of signal transduction."
GO:0006974,DNA damage response,3,751,2.84E-02,biological_process,"Any process that results in a change in state or activity of a cell (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a stimulus indicating damage to its DNA from environmental insults or errors during metabolism."
GO:1905958,negative regulation of cellular response to alcohol,1,67,1.36E-03,biological_process,"Any process that stops, prevents or reduces the frequency, rate or extent of cellular response to alcohol."
GO:0003697,single-stranded DNA binding,1,118,2.05E-02,molecular_function,Binding to single-stranded DNA.
GO:0006259,DNA metabolic process,5,1155,3.08E-03,biological_process,"Any cellular metabolic process involving deoxyribonucleic acid. This is one of the two main types of nucleic acid, consisting of a long, unbranched macromolecule formed from one, or more commonly, two, strands of linked deoxyribonucleotides."
GO:0010213,non-photoreactive DNA repair,1,3,1.58E-55,biological_process,A DNA repair process that is involved in repairing UV-induced DNA damage under non-photoreactivating conditions. The mechanism by which this repair process operates has not yet been completely elucidated.
GO:0010224,response to UV-B,1,81,3.92E-03,biological_process,"Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a UV-B radiation stimulus. UV-B radiation (UV-B light) spans the wavelengths 280 to 315 nm."
GO:0006289,nucleotide-excision repair,1,83,4.44E-03,biological_process,"A DNA repair process in which a small region of the strand surrounding the damage is removed from the DNA helix as an oligonucleotide. The small gap left in the DNA helix is filled in by the sequential action of DNA polymerase and DNA ligase. Nucleotide excision repair recognizes a wide range of substrates, including damage caused by UV irradiation (pyrimidine dimers and 6-4 photoproducts) and chemicals (intrastrand cross-links and bulky adducts)."
GO:0009664,plant-type cell wall organization,6,195,2.18E-29,biological_process,"A process that results in the assembly and arrangement of constituent parts of the cellulose and pectin-containing cell wall, or in the disassembly of the cellulose and pectin-containing cell wall. This process is carried out at the cellular level. An example of this process is found in Arabidopsis thaliana."
GO:0045229,external encapsulating structure organization,7,515,1.71E-14,biological_process,"A process that is carried out at the cellular level which results in the assembly, arrangement of constituent parts, or disassembly of external structures that lie outside the plasma membrane and surround the entire cell."
GO:0071555,cell wall organization,7,421,6.13E-18,biological_process,"A process that results in the assembly, arrangement of constituent parts, or disassembly of the cell wall, the rigid or semi-rigid envelope lying outside the cell membrane of plant, fungal and most prokaryotic cells, maintaining their shape and protecting them from osmotic lysis."
GO:0043069,negative regulation of programmed cell death,1,37,1.11E-05,biological_process,"Any process that stops, prevents, or reduces the frequency, rate or extent of programmed cell death, cell death resulting from activation of endogenous cellular processes."
GO:0009723,response to ethylene,2,229,1.27E-03,biological_process,"Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of an ethylene (ethene) stimulus."
GO:0016143,S-glycoside metabolic process,3,274,7.77E-06,biological_process,"The chemical reactions and pathways involving S-glycosides, any compound in which a glycosyl group has been substituted into a thiol group."
GO:0019757,glycosinolate metabolic process,3,274,7.77E-06,biological_process,"The chemical reactions and pathways involving glycosinolates, substituted thioglycosides found in rapeseed products and related cruciferae."
GO:0016144,S-glycoside biosynthetic process,1,114,1.80E-02,biological_process,"The chemical reactions and pathways resulting in the formation of S-glycosides, any compound in which a glycosyl group has been substituted into a thiol group."
GO:0019758,glycosinolate biosynthetic process,1,114,1.80E-02,biological_process,"The chemical reactions and pathways resulting in the formation of glycosinolates, substituted thioglycosides found in rapeseed products and related cruciferae."
GO:0019760,glucosinolate metabolic process,3,274,7.77E-06,biological_process,"The chemical reactions and pathways involving glucosinolates, substituted thioglucosides found in rapeseed products and related cruciferae. They are metabolized to a variety of toxic products which are most likely the cause of hepatocytic necrosis in animals and humans."
GO:1901657,glycosyl compound metabolic process,3,406,4.87E-04,biological_process,The chemical reactions and pathways involving glycosyl compound.
GO:1901659,glycosyl compound biosynthetic process,1,133,3.15E-02,biological_process,The chemical reactions and pathways resulting in the formation of glycosyl compound.
GO:0019761,glucosinolate biosynthetic process,1,114,1.80E-02,biological_process,"The chemical reactions and pathways resulting in the formation of glucosinolates, substituted thioglucosides found in rapeseed products and related cruciferae."
GO:0044272,sulfur compound biosynthetic process,2,448,4.41E-02,biological_process,"The chemical reactions and pathways resulting in the formation of compounds that contain sulfur, such as the amino acids methionine and cysteine or the tripeptide glutathione."
GO:0044550,secondary metabolite biosynthetic process,2,405,2.91E-02,biological_process,"The chemical reactions and pathways resulting in the formation of secondary metabolites, the compounds that are not necessarily required for growth and maintenance of cells, and are often unique to a taxon."
GO:0009526,plastid envelope,5,574,7.66E-07,cellular_component,The double lipid bilayer enclosing a plastid and separating its contents from the rest of the cytoplasm; includes the intermembrane space.
GO:0009941,chloroplast envelope,5,567,6.25E-07,cellular_component,The double lipid bilayer enclosing the chloroplast and separating its contents from the rest of the cytoplasm; includes the intermembrane space.
GO:0031967,organelle envelope,6,672,4.14E-08,cellular_component,"A double membrane structure enclosing an organelle, including two lipid bilayers and the region between them. In some cases, an organelle envelope may have more than two membranes."
GO:0031975,envelope,6,672,4.14E-08,cellular_component,"A multilayered structure surrounding all or part of a cell; encompasses one or more lipid bilayers, and may include a cell wall layer; also includes the space between layers."
GO:0033321,homomethionine metabolic process,1,3,1.58E-55,biological_process,"The chemical reactions and pathways involving homomethionine, a non-protein amino acid synthesized from methionine via chain elongation."
GO:0006848,pyruvate transport,1,20,1.62E-09,biological_process,"The directed movement of pyruvate into, out of or within a cell, or between cells, by means of some agent such as a transporter or pore."
GO:0006849,plasma membrane pyruvate transport,1,1,4.76E-163,biological_process,"The directed movement of pyruvate, 2-oxopropanoate, across a plasma membrane."
GO:0009579,thylakoid,4,374,4.29E-07,cellular_component,"A membranous cellular structure that bears the photosynthetic pigments in plants, algae, and cyanobacteria. In cyanobacteria thylakoids are of various shapes and are attached to, or continuous with, the plasma membrane. In eukaryotes they are flattened, membrane-bounded disk-like structures located in the chloroplasts; in the chloroplasts of higher plants the thylakoids form dense stacks called grana. Isolated thylakoid preparations can carry out photosynthetic electron transport and the associated phosphorylation."
GO:0033506,glucosinolate biosynthetic process from homomethionine,1,3,1.58E-55,biological_process,The chemical reactions and pathways resulting in the formation of glucosinolates from other compounds including homomethionine.
GO:0015718,monocarboxylic acid transport,1,58,5.31E-04,biological_process,"The directed movement of monocarboxylic acids into, out of or within a cell, or between cells, by means of some agent such as a transporter or pore."
GO:0008028,monocarboxylic acid transmembrane transporter activity,3,26,9.54E-57,molecular_function,Enables the transfer of monocarboxylic acids from one side of a membrane to the other. A monocarboxylic acid is an organic acid with one COOH group.
GO:0050833,pyruvate transmembrane transporter activity,1,3,1.58E-55,molecular_function,"Enables the transfer of pyruvate, 2-oxopropanoate, from one side of a membrane to the other."
GO:1901475,pyruvate transmembrane transport,1,19,5.95E-10,biological_process,The directed movement of pyruvate across a membrane.
GO:1903825,organic acid transmembrane transport,1,116,1.92E-02,biological_process,The process in which an organic acid is transported across a membrane.
GO:0003682,chromatin binding,3,264,4.82E-06,molecular_function,"Binding to chromatin, the network of fibers of DNA, protein, and sometimes RNA, that make up the chromosomes of the eukaryotic nucleus during interphase."
GO:1905039,carboxylic acid transmembrane transport,1,114,1.80E-02,biological_process,The process in which carboxylic acid is transported across a membrane.
GO:0048859,formation of anatomical boundary,2,18,3.94E-37,biological_process,"The process in which the limits of an anatomical structure are generated. An anatomical structure is any biological entity that occupies space and is distinguished from its surroundings. Anatomical structures can be macroscopic such as a carpel, or microscopic such as an acrosome."
GO:0090691,formation of plant organ boundary,2,18,3.94E-37,biological_process,The regionalization process that specifies plant organ primordium boundaries resulting in a restriction of organogenesis to a limited spatial domain and keeping the organ separate from surrounding tissues.
GO:0006325,chromatin organization,4,422,2.73E-06,biological_process,"The assembly or remodeling of chromatin composed of DNA complexed with histones, other associated proteins, and sometimes RNA."
GO:0006338,chromatin remodeling,4,364,2.74E-07,biological_process,"A dynamic process of chromatin reorganization resulting in changes to chromatin structure. These changes allow DNA metabolic processes such as transcriptional regulation, DNA recombination, DNA repair, and DNA replication."
GO:0010199,organ boundary specification between lateral organs and the meristem,2,9,4.83E-73,biological_process,The process in which boundaries between lateral organs and the meristem is established and maintained.
GO:0010050,vegetative phase change,2,10,7.23E-66,biological_process,Any process involved in the transition of a plant from a juvenile phase of vegetative development to an adult phase of vegetative development.
GO:0008094,"ATP-dependent activity, acting on DNA",3,275,8.14E-06,molecular_function,"Catalytic activity that acts to modify DNA, driven by ATP hydrolysis."
GO:0010449,root meristem growth,1,16,1.41E-11,biological_process,"The increase in size or mass of a root meristem, a population of undifferentiated cells in a plant root which maintains a continuous balance between the production of stem cells and the incorporation of their derivatives into the growth of the root."
GO:0035266,meristem growth,1,29,6.17E-07,biological_process,"The increase in size or mass of a meristem, a region of tissue in a plant that is composed of one or more undifferentiated cells capable of undergoing mitosis and differentiation."
GO:0048646,anatomical structure formation involved in morphogenesis,4,278,1.59E-09,biological_process,"The developmental process pertaining to the initial formation of an anatomical structure from unspecified parts. This process begins with the specific processes that contribute to the appearance of the discrete structure and ends when the structural rudiment is recognizable. An anatomical structure is any biological entity that occupies space and is distinguished from its surroundings. Anatomical structures can be macroscopic such as a carpel, or microscopic such as an acrosome."
GO:0040029,epigenetic regulation of gene expression,4,213,2.11E-12,biological_process,"A process that modulates the frequency, rate or extent of gene expression through chromatin remodeling either by modifying higher order chromatin fiber structure, nucleosomal histones, or cytosine methylation of DNA. Once established, this regulation may be maintained over many cell divisions. It can also be heritable in the absence of the instigating signal."
GO:0060966,regulation of gene silencing by regulatory ncRNA,1,26,1.33E-07,biological_process,"Any process that regulates the rate, frequency, or extent of gene silencing by RNA. Gene silencing by RNA is the process in which RNA molecules inactivate expression of target genes."
